"BehaviorSpace results (NetLogo 6.1.1)"
"ButterflyCorridorsExperimentStarter.nlogo"
"experiment"
"02/14/2020 13:20:55:703 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220"
"q","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-butterflies","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"[steps]","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999"

"[initial & final values]","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width","corridor-width"
,"216.47234038825212","218.6785239714045","204.7287976528159","198.12350728924767","208.3706461606712","208.71484413145865","217.4189734822451","205.95890809807995","209.71098717273225","213.84879121315652","210.89930344367153","207.1416140431746","209.18567126636876","212.69981122213082","211.94410119863167","235.23978604974477","197.35624890992747","212.64698374928417","217.0778716594232","201.40830726009682","162.5499875909876","166.45716329338234","158.03127946503494","163.96645740967932","181.59009828499097","154.2274126419666","158.82941328073534","168.4526241387967","167.28988315432804","164.6051309288521","163.08385621801457","153.070135391808","137.91327946971649","146.6462234724251","151.70095261339128","192.54326099344638","147.1987972314695","169.68629467119118","149.5579677950441","167.82039622826167","85.92170934097044","80.5029096532523","94.50804432022944","77.91121315313275","87.10690108403743","86.80912117840958","94.74821760560678","85.86452981627075","87.30857917238178","85.85606010616871","98.18036204607576","88.34756845238695","91.77409021329095","75.86029703670336","91.35789164794836","79.3364309269975","103.55763372782425","88.01708793756524","84.07522459211886","93.40466515070435","54.6867001899652","62.53234128900359","48.05398293404247","53.52295438905112","51.94988156035492","57.92821095227675","53.7374961526565","56.53994321912328","49.107003032850464","53.164748599358965","51.492806000204574","55.71015041486158","51.941264856588276","51.22115232547876","55.40474009771664","52.80516480585491","54.074875313209425","51.48420710447475","52.487450671717546","53.422524297952286","30.177021558167578","31.035530657071387","36.01080682232397","40.04989812401496","35.291939605562845","40.1994725872361","34.99561079743978","37.15437612967281","39.741667722901056","39.64477926434739","40.444308784559816","38.85304995488668","35.47765336545539","38.47238145566098","35.74167853179852","35.79094689220094","37.57371724146744","37.214797231793746","39.97691914957766","38.243646722178156","26.499765719114926","24.611052977020524","20.69838066455457","27.680704944325868","23.63421164297318","31.088688124666568","25.29738214362488","23.60333490680942","27.730961257562488","29.019815576782687","32.47376253810879","23.75735131172693","24.420029465947966","23.556201804025843","29.43360505152295","25.702010573590478","26.427404557265934","26.845909618284193","30.95936599564177","29.732955610830114","24.645239427309164","19.622911866291727","21.931382025772265","22.80602920771059","22.89906273333957","21.11062734292144","22.189063642191275","18.32941924552321","23.418600871614018","19.500002311312183","18.292049864224442","22.349410160473305","21.53880190815071","21.612654047892747","18.628430077545666","22.05693098516617","19.9180217109607","25.686019313884522","20.099803516121803","21.233240904347344","19.176332130359455","18.007025972904888","23.77112900657958","19.936782399408195","18.768662789386525","20.821162927634123","20.329807797696272","22.266067773158746","21.14185632539773","24.15242798433516","20.605725070320975","22.157489746745743","20.7685125231329","19.8548280948216","18.236172937434386","18.389378975105515","19.849378785543422","18.56876294214772","17.569820609856748","16.809367158353478","24.202160867544155","21.877271448928074","21.06769575675966","20.011542665944088","22.902807821000394","18.869583972297352","21.644242671205806","20.32462349050094","18.237137903022848","22.847486136178365","20.095497236333653","20.80129162799096","19.4379380444644","19.886830929706825","18.389350841392066","21.136454160705632","19.819595527234846","18.073733410156866","21.773057856548","19.872390057242807","11.359495570775788","13.166151604098523","14.489050677002725","11.696649497642692","11.193974959767237","15.403737648184483","12.2447138664654","16.426527900540407","10.933306983238445","19.85873434999574","11.086799118348733","11.141520978206605","11.638128884261253","20.374601584878516","16.10574885820399","14.542457789027823","12.367774050694434","15.750001512739685","13.432055325743342","11.781553872371804","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525","1.0289915108550525"
