"BehaviorSpace results (NetLogo 6.1.1)"
"coc00031.nlogo"
"Allv3"
"03/02/2020 05:00:27:711 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-lanes","max-patience","acceleration","number-of-cars","deceleration","[step]","[speed] of selected-car"
"135","1","1","0.004","61","0.1","999","0"
"136","1","1","0.004","71","0.02","999","0"
"137","1","1","0.004","71","0.04","999","0"
"138","1","1","0.004","71","0.06","999","0"
"140","1","1","0.004","71","0.1","999","0"
"141","1","1","0.004","81","0.02","999","0"
"139","1","1","0.004","71","0.08","999","0"
"142","1","1","0.004","81","0.04","999","0"
"143","1","1","0.004","81","0.06","999","0"
"144","1","1","0.004","81","0.08","999","0"
"145","1","1","0.004","81","0.1","999","0"
"147","1","1","0.004","91","0.04","999","0"
"148","1","1","0.004","91","0.06","999","0"
"146","1","1","0.004","91","0.02","999","0"
"150","1","1","0.004","91","0.1","999","0"
"149","1","1","0.004","91","0.08","999","0"
"151","1","1","0.004","101","0.02","999","0"
"152","1","1","0.004","101","0.04","999","0"
"153","1","1","0.004","101","0.06","999","0"
"154","1","1","0.004","101","0.08","999","0"
"156","1","1","0.004","111","0.02","999","0"
"155","1","1","0.004","101","0.1","999","0"
"157","1","1","0.004","111","0.04","999","0"
"158","1","1","0.004","111","0.06","999","0"
"159","1","1","0.004","111","0.08","999","0"
"160","1","1","0.004","111","0.1","999","0"
"161","1","1","0.004","121","0.02","999","0"
"162","1","1","0.004","121","0.04","999","0"
"163","1","1","0.004","121","0.06","999","0"
"164","1","1","0.004","121","0.08","999","0"
"165","1","1","0.004","121","0.1","999","0"
"166","1","1","0.004","131","0.02","999","0"
"167","1","1","0.004","131","0.04","999","0"
"168","1","1","0.004","131","0.06","999","0"
"170","1","1","0.004","131","0.1","999","0"
"169","1","1","0.004","131","0.08","999","0"
"172","1","1","0.004","141","0.04","999","0"
"171","1","1","0.004","141","0.02","999","0"
"173","1","1","0.004","141","0.06","999","0"
"174","1","1","0.004","141","0.08","999","0"
"175","1","1","0.004","141","0.1","999","0"
"176","1","1","0.004","151","0.02","999","0"
"177","1","1","0.004","151","0.04","999","0"
"178","1","1","0.004","151","0.06","999","0"
"179","1","1","0.004","151","0.08","999","0"
"180","1","1","0.004","151","0.1","999","0"
"181","1","1","0.004","161","0.02","999","0"
"182","1","1","0.004","161","0.04","999","0"
"183","1","1","0.004","161","0.06","999","0"
"184","1","1","0.004","161","0.08","999","0"
"185","1","1","0.004","161","0.1","999","0"
"186","1","1","0.004","171","0.02","999","0"
"187","1","1","0.004","171","0.04","999","0"
"188","1","1","0.004","171","0.06","999","0"
"189","1","1","0.004","171","0.08","999","0"
"190","1","1","0.004","171","0.1","999","0"
"191","1","1","0.004","181","0.02","999","0"
"192","1","1","0.004","181","0.04","999","0"
"193","1","1","0.004","181","0.06","999","0"
"194","1","1","0.004","181","0.08","999","0"
"195","1","1","0.004","181","0.1","999","0"
"196","1","1","0.004","191","0.02","999","0"
"197","1","1","0.004","191","0.04","999","0"
"201","1","1","0.006","1","0.02","999","0"
"203","1","1","0.006","1","0.06","999","0"
"202","1","1","0.006","1","0.04","999","0"
"198","1","1","0.004","191","0.06","999","0"
"204","1","1","0.006","1","0.08","999","0"
"205","1","1","0.006","1","0.1","999","0"
"199","1","1","0.004","191","0.08","999","0"
"200","1","1","0.004","191","0.1","999","0"
"206","1","1","0.006","11","0.02","999","0"
"207","1","1","0.006","11","0.04","999","0"
"208","1","1","0.006","11","0.06","999","0"
"209","1","1","0.006","11","0.08","999","0"
"210","1","1","0.006","11","0.1","999","0"
"211","1","1","0.006","21","0.02","999","0"
"212","1","1","0.006","21","0.04","999","0"
"213","1","1","0.006","21","0.06","999","0"
"214","1","1","0.006","21","0.08","999","0"
"215","1","1","0.006","21","0.1","999","0.041999999999999996"
"216","1","1","0.006","31","0.02","999","0"
"217","1","1","0.006","31","0.04","999","0"
"218","1","1","0.006","31","0.06","999","0"
"219","1","1","0.006","31","0.08","999","0.08"
"220","1","1","0.006","31","0.1","999","0"
"221","1","1","0.006","41","0.02","999","0"
"222","1","1","0.006","41","0.04","999","0"
"223","1","1","0.006","41","0.06","999","0"
"224","1","1","0.006","41","0.08","999","0"
"225","1","1","0.006","41","0.1","999","0"
"226","1","1","0.006","51","0.02","999","0"
"227","1","1","0.006","51","0.04","999","0"
"228","1","1","0.006","51","0.06","999","0"
"229","1","1","0.006","51","0.08","999","0"
"230","1","1","0.006","51","0.1","999","0"
"231","1","1","0.006","61","0.02","999","0"
"232","1","1","0.006","61","0.04","999","0"
"233","1","1","0.006","61","0.06","999","0"
"234","1","1","0.006","61","0.08","999","0"
"235","1","1","0.006","61","0.1","999","0"
"236","1","1","0.006","71","0.02","999","0"
"237","1","1","0.006","71","0.04","999","0"
"238","1","1","0.006","71","0.06","999","0"
"239","1","1","0.006","71","0.08","999","0"
"240","1","1","0.006","71","0.1","999","0"
"241","1","1","0.006","81","0.02","999","0"
"242","1","1","0.006","81","0.04","999","0"
"243","1","1","0.006","81","0.06","999","0"
"244","1","1","0.006","81","0.08","999","0"
"245","1","1","0.006","81","0.1","999","0"
"246","1","1","0.006","91","0.02","999","0"
"247","1","1","0.006","91","0.04","999","0"
"248","1","1","0.006","91","0.06","999","0"
"250","1","1","0.006","91","0.1","999","0"
"249","1","1","0.006","91","0.08","999","0"
"251","1","1","0.006","101","0.02","999","0"
"252","1","1","0.006","101","0.04","999","0"
"253","1","1","0.006","101","0.06","999","0"
"254","1","1","0.006","101","0.08","999","0"
"255","1","1","0.006","101","0.1","999","0"
"256","1","1","0.006","111","0.02","999","0"
"257","1","1","0.006","111","0.04","999","0"
"258","1","1","0.006","111","0.06","999","0"
"259","1","1","0.006","111","0.08","999","0"
"260","1","1","0.006","111","0.1","999","0"
"261","1","1","0.006","121","0.02","999","0"
"262","1","1","0.006","121","0.04","999","0"
"263","1","1","0.006","121","0.06","999","0"
"264","1","1","0.006","121","0.08","999","0"
"265","1","1","0.006","121","0.1","999","0"
"267","1","1","0.006","131","0.04","999","0"
"268","1","1","0.006","131","0.06","999","0"
"266","1","1","0.006","131","0.02","999","0"
"269","1","1","0.006","131","0.08","999","0"
"270","1","1","0.006","131","0.1","999","0"
"271","1","1","0.006","141","0.02","999","0"
"272","1","1","0.006","141","0.04","999","0"
"273","1","1","0.006","141","0.06","999","0"
"274","1","1","0.006","141","0.08","999","0"
